RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data
Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart
Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.
Date,Price,Open,High,Low,Volume,Change(%)
01 Feb 2026,1347.0,1396.0,1411.0,1335.0,9714528,-3.47%
30 Jan 2026,1395.4,1382.6,1398.0,1378.5,11239835,0.32%
29 Jan 2026,1391.0,1402.9,1402.9,1384.0,20846683,-0.41%
28 Jan 2026,1396.7,1385.0,1409.9,1384.9,11121657,1.17%
27 Jan 2026,1380.5,1380.0,1391.6,1368.0,26302396,-0.40%
23 Jan 2026,1386.1,1401.8,1407.0,1381.0,9837802,-1.17%
22 Jan 2026,1402.5,1410.1,1419.5,1395.0,15721693,-0.15%
21 Jan 2026,1404.6,1389.5,1412.9,1373.0,17352720,0.76%
20 Jan 2026,1394.0,1410.7,1416.0,1390.0,13189498,-1.39%
19 Jan 2026,1413.6,1450.6,1450.6,1403.3,20392765,-3.04%
16 Jan 2026,1457.9,1458.8,1480.0,1455.1,17167161,-0.06%
14 Jan 2026,1458.8,1444.0,1467.0,1440.2,8321764,0.41%
13 Jan 2026,1452.8,1485.0,1485.8,1444.7,13499760,-2.05%
12 Jan 2026,1483.2,1475.3,1485.3,1451.0,8883745,0.54%
09 Jan 2026,1475.3,1465.0,1479.9,1465.0,8335311,0.32%
08 Jan 2026,1470.6,1500.0,1503.9,1468.8,16518684,-2.23%
07 Jan 2026,1504.2,1510.0,1520.0,1498.0,11199340,-0.23%
06 Jan 2026,1507.6,1569.0,1569.0,1496.3,27417125,-4.47%
05 Jan 2026,1578.1,1593.0,1611.8,1575.3,8704973,-0.89%
02 Jan 2026,1592.3,1580.0,1594.6,1578.2,6602230,1.06%
01 Jan 2026,1575.6,1573.7,1592.5,1571.1,6408128,0.33%
31 Dec 2025,1570.4,1541.0,1577.0,1541.0,5771830,1.99%
30 Dec 2025,1539.8,1547.0,1553.6,1537.8,8815884,-0.38%
29 Dec 2025,1545.6,1554.9,1558.1,1543.6,5972105,-0.87%
26 Dec 2025,1559.2,1554.7,1561.0,1554.3,2311495,0.06%
24 Dec 2025,1558.2,1572.7,1575.7,1553.6,8815745,-0.80%
23 Dec 2025,1570.7,1580.9,1580.9,1568.1,7506564,-0.30%
22 Dec 2025,1575.4,1573.5,1577.5,1565.3,10184852,0.66%
19 Dec 2025,1565.1,1554.4,1574.2,1551.0,13937275,1.34%
18 Dec 2025,1544.4,1535.2,1551.5,1535.2,6580829,0.00%
17 Dec 2025,1544.4,1550.0,1550.0,1539.3,7116649,0.14%
16 Dec 2025,1542.3,1545.0,1551.7,1538.8,11731856,-0.89%
15 Dec 2025,1556.2,1551.2,1558.6,1546.5,5774543,-0.02%
12 Dec 2025,1556.5,1550.8,1559.8,1546.1,5106655,0.74%
11 Dec 2025,1545.0,1536.9,1550.0,1524.0,4706197,0.53%
10 Dec 2025,1536.9,1534.0,1547.5,1531.4,7991629,0.49%
09 Dec 2025,1529.4,1540.3,1542.5,1520.1,11503971,-0.88%
08 Dec 2025,1543.0,1539.2,1551.0,1535.0,11301491,0.16%
05 Dec 2025,1540.6,1530.4,1545.8,1520.6,10183266,0.33%
04 Dec 2025,1535.6,1536.0,1560.5,1517.6,11867930,-0.21%
03 Dec 2025,1538.8,1545.2,1552.4,1533.0,6090883,-0.49%
02 Dec 2025,1546.3,1561.1,1567.5,1542.0,11389150,-1.26%
01 Dec 2025,1566.1,1575.0,1577.5,1563.6,8920233,-0.09%
28 Nov 2025,1567.5,1568.0,1581.3,1563.0,8959508,0.26%
27 Nov 2025,1563.4,1575.0,1575.5,1556.0,9794643,-0.41%
26 Nov 2025,1569.9,1542.3,1571.6,1540.5,14054299,1.96%
25 Nov 2025,1539.7,1535.9,1559.6,1525.1,15033482,0.25%
24 Nov 2025,1535.9,1550.0,1550.0,1531.8,18433951,-0.69%
21 Nov 2025,1546.6,1541.0,1557.8,1540.1,9615271,-0.16%
20 Nov 2025,1549.1,1530.0,1550.9,1526.7,18171724,1.99%
19 Nov 2025,1518.9,1517.4,1522.3,1512.0,5692366,-0.03%
